MPG,Cilindros,Max,Acel,HP,Peso,Ano,Origem,Modelo,Marca
18.0,8,307.0,12.0,130,3504,70,North America,chevrolet chevelle malibu,chevrolet
15.0,8,350.0,11.5,165,3693,70,North America,buick skylark 320,buick
18.0,8,318.0,11.0,150,3436,70,North America,plymouth satellite,plymouth
16.0,8,304.0,12.0,150,3433,70,North America,amc rebel sst,amc
17.0,8,302.0,10.5,140,3449,70,North America,ford torino,ford
15.0,8,429.0,10.0,198,4341,70,North America,ford galaxie 500,ford
14.0,8,454.0,9.0,220,4354,70,North America,chevrolet impala,chevrolet
14.0,8,440.0,8.5,215,4312,70,North America,plymouth fury iii,plymouth
14.0,8,455.0,10.0,225,4425,70,North America,pontiac catalina,pontiac
15.0,8,390.0,8.5,190,3850,70,North America,amc ambassador dpl,amc
15.0,8,383.0,10.0,170,3563,70,North America,dodge challenger se,dodge
14.0,8,340.0,8.0,160,3609,70,North America,plymouth 'cuda 340,plymouth
15.0,8,400.0,9.5,150,3761,70,North America,chevrolet monte carlo,chevrolet
14.0,8,455.0,10.0,225,3086,70,North America,buick estate wagon (sw),buick
24.0,4,113.0,15.0,95,2372,70,Asia,toyota corona mark ii,toyota
22.0,6,198.0,15.5,95,2833,70,North America,plymouth duster,plymouth
18.0,6,199.0,15.5,97,2774,70,North America,amc hornet,amc
21.0,6,200.0,16.0,85,2587,70,North America,ford maverick,ford
27.0,4,97.0,14.5,88,2130,70,Asia,datsun pl510,datsun
26.0,4,97.0,20.5,46,1835,70,Europe,volkswagen 1131 deluxe sedan,volkswagen
25.0,4,110.0,17.5,87,2672,70,Europe,peugeot 504,peugeot
24.0,4,107.0,14.5,90,2430,70,Europe,audi 100 ls,audi
25.0,4,104.0,17.5,95,2375,70,Europe,saab 99e,saab
26.0,4,121.0,12.5,113,2234,70,Europe,bmw 2002,bmw
21.0,6,199.0,15.0,90,2648,70,North America,amc gremlin,amc
10.0,8,360.0,14.0,215,4615,70,North America,ford f250,ford
10.0,8,307.0,15.0,200,4376,70,North America,chevy c20,chevrolet
11.0,8,318.0,13.5,210,4382,70,North America,dodge d200,dodge
9.0,8,304.0,18.5,193,4732,70,North America,hi 1200d,hi
27.0,4,97.0,14.5,88,2130,71,Asia,datsun pl510,datsun
28.0,4,140.0,15.5,90,2264,71,North America,chevrolet vega 2300,chevrolet
25.0,4,113.0,14.0,95,2228,71,Asia,toyota corona,toyota
19.0,6,232.0,13.0,100,2634,71,North America,amc gremlin,amc
16.0,6,225.0,15.5,105,3439,71,North America,plymouth satellite custom,plymouth
17.0,6,250.0,15.5,100,3329,71,North America,chevrolet chevelle malibu,chevrolet
19.0,6,250.0,15.5,88,3302,71,North America,ford torino 500,ford
18.0,6,232.0,15.5,100,3288,71,North America,amc matador,amc
14.0,8,350.0,12.0,165,4209,71,North America,chevrolet impala,chevrolet
14.0,8,400.0,11.5,175,4464,71,North America,pontiac catalina brougham,pontiac
14.0,8,351.0,13.5,153,4154,71,North America,ford galaxie 500,ford
14.0,8,318.0,13.0,150,4096,71,North America,plymouth fury iii,plymouth
12.0,8,383.0,11.5,180,4955,71,North America,dodge monaco (sw),dodge
13.0,8,400.0,12.0,170,4746,71,North America,ford country squire (sw),ford
13.0,8,400.0,12.0,175,5140,71,North America,pontiac safari (sw),pontiac
18.0,6,258.0,13.5,110,2962,71,North America,amc hornet sportabout (sw),amc
22.0,4,140.0,19.0,72,2408,71,North America,chevrolet vega (sw),chevrolet
19.0,6,250.0,15.0,100,3282,71,North America,pontiac firebird,pontiac
18.0,6,250.0,14.5,88,3139,71,North America,ford mustang,ford
23.0,4,122.0,14.0,86,2220,71,North America,mercury capri 2000,mercury
28.0,4,116.0,14.0,90,2123,71,Europe,opel 1900,opel
30.0,4,79.0,19.5,70,2074,71,Europe,peugeot 304,peugeot
30.0,4,88.0,14.5,76,2065,71,Europe,fiat 124b,fiat
31.0,4,71.0,19.0,65,1773,71,Asia,toyota corolla 1200,toyota
35.0,4,72.0,18.0,69,1613,71,Asia,datsun 1200,datsun
27.0,4,97.0,19.0,60,1834,71,Europe,volkswagen model 111,volkswagen
26.0,4,91.0,20.5,70,1955,71,North America,plymouth cricket,plymouth
24.0,4,113.0,15.5,95,2278,72,Asia,toyota corona hardtop,toyota
25.0,4,97.5,17.0,80,2126,72,North America,dodge colt hardtop,dodge
23.0,4,97.0,23.5,54,2254,72,Europe,volkswagen type 3,volkswagen
20.0,4,140.0,19.5,90,2408,72,North America,chevrolet vega,chevrolet
21.0,4,122.0,16.5,86,2226,72,North America,ford pinto runabout,ford
13.0,8,350.0,12.0,165,4274,72,North America,chevrolet impala,chevrolet
14.0,8,400.0,12.0,175,4385,72,North America,pontiac catalina,pontiac
15.0,8,318.0,13.5,150,4135,72,North America,plymouth fury iii,plymouth
14.0,8,351.0,13.0,153,4129,72,North America,ford galaxie 500,ford
17.0,8,304.0,11.5,150,3672,72,North America,amc ambassador sst,amc
11.0,8,429.0,11.0,208,4633,72,North America,mercury marquis,mercury
13.0,8,350.0,13.5,155,4502,72,North America,buick lesabre custom,buick
12.0,8,350.0,13.5,160,4456,72,North America,oldsmobile delta 88 royale,oldsmobile
13.0,8,400.0,12.5,190,4422,72,North America,chrysler newport royal,chrysler
19.0,3,70.0,13.5,97,2330,72,Asia,mazda rx2 coupe,mazda
15.0,8,304.0,12.5,150,3892,72,North America,amc matador (sw),amc
13.0,8,307.0,14.0,130,4098,72,North America,chevrolet chevelle concours (sw),chevrolet
13.0,8,302.0,16.0,140,4294,72,North America,ford gran torino (sw),ford
14.0,8,318.0,14.0,150,4077,72,North America,plymouth satellite custom (sw),plymouth
18.0,4,121.0,14.5,112,2933,72,Europe,volvo 145e (sw),volvo
22.0,4,121.0,18.0,76,2511,72,Europe,volkswagen 411 (sw),volkswagen
21.0,4,120.0,19.5,87,2979,72,Europe,peugeot 504 (sw),peugeot
26.0,4,96.0,18.0,69,2189,72,Europe,renault 12 (sw),renault
22.0,4,122.0,16.0,86,2395,72,North America,ford pinto (sw),ford
28.0,4,97.0,17.0,92,2288,72,Asia,datsun 510 (sw),datsun
23.0,4,120.0,14.5,97,2506,72,Asia,toyouta corona mark ii (sw),toyota
28.0,4,98.0,15.0,80,2164,72,North America,dodge colt (sw),dodge
27.0,4,97.0,16.5,88,2100,72,Asia,toyota corolla 1600 (sw),toyota
13.0,8,350.0,13.0,175,4100,73,North America,buick century 350,buick
14.0,8,304.0,11.5,150,3672,73,North America,amc matador,amc
13.0,8,350.0,13.0,145,3988,73,North America,chevrolet malibu,chevrolet
14.0,8,302.0,14.5,137,4042,73,North America,ford gran torino,ford
15.0,8,318.0,12.5,150,3777,73,North America,dodge coronet custom,dodge
12.0,8,429.0,11.5,198,4952,73,North America,mercury marquis brougham,mercury
